key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,PDF files
rayyan-401776560,Technological and Economic Optimization of Wheat Straw Black Liquor Decolorization by Activated Carbon,2023,8,,WATER,,15,16,,"Suditu, Gabriel Dan and Dragoi, Elena Niculina and Puitel, Adrian Catalin and Nechita, Mircea Teodor",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/w15162911,black liquor; adsorption; multi-objective optimization; genetic algorithms,,,""
rayyan-401776561,Synthesis of Water-Dispersible Poly(dimethylsiloxane) and Its Potential Application in the Paper Coating Industry as an Alternative for PFAS-Coated Paper and Single-Use Plastics,2024,4,,POLYMERS,,16,7,,"Hamdani, Syeda Shamila and Elkholy, Hazem M. and Alford, Alexandra and Jackson, Kang and Naveed, Muhammad and Wyman, Ian and Wang, Yun and Li, Kecheng and Haider, Syed W. and Rabnawaz, Muhammad",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/polym16071006,biodegradable; PFAS alternatives; waterborne coatings; water-resistant; oil-resistant; pulp recovery,,,""
rayyan-401776562,"Microplastic Abundance and Sources in Surface Water Samples of the Vaal River, South Africa",2024,1,,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,0007-4861,112,1,,"Saad, Dalia and Ramaremisa, Gibbon and Ndlovu, Michelle and Chauke, Patricia and Nikiema, Josiane and Chimuka, Luke",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"",10.1007/s00128-023-03845-y,Microplastics; Freshwater; Vaal River; South Africa,,,""
rayyan-401776563,"Dirty, difficult and dangerous: Establishing a plastics waste upcycling system in Nepal",2024,12,,CLEANER WASTE SYSTEMS,,9,,,"Park, Curie and Hira, Andy and Rana, Padmakshi and Pacini, Henrique and Evans, Stephen",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.clwas.2024.100190,Plastic waste; Recycling; Upcycling; Nepal; Innovation; Incubation,,,""
rayyan-401776564,"Environmental movements in a material world. A relational perspective on single-use plastic in Penzance, UK",2023,6,,FRONTIERS IN SUSTAINABLE CITIES,,5,,,"Idies, Yusif and Moessner, Samuel",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND",,"",10.3389/frsc.2023.1156815,environmental movements; boundary objects; materiality; sustainability policies; professionalizat...,,,""
rayyan-401776565,"Recycling, thermophysical characterisation and assessment of low-density polythene waste as feedstock for 3D printing",2024,12,,MATERIALS TODAY SUSTAINABILITY,2589-2347,28,,,"Devra, Rajdeep Singh and Srivastava, Nishkarsh and Vadali, Madhu and Arora, Amit",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.mtsust.2024.100949,Waste plastic recycling; Low-density polyethene (LDPE); Extrusion; Fused deposition modelling; Su...,,,""
rayyan-401776566,Synthetic polymers: A global threat to aquatic benthic environments,2024,8,,JOURNAL OF HAZARDOUS MATERIALS,0304-3894,474,,,"Consoli, Pierpaolo and Costa, Valentina and Sciutteri, Valentina and Malara, Danilo and Peda, Cristina and Figurella, Fabio and Campbell, Ian and Deery, Emily and Romeo, Teresa and Andaloro, Franco",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.jhazmat.2024.134848,ALDFG; Marine litter; Seafloor litter; Pollution; Plastic,,,""
rayyan-401776567,Cost-benefit analysis of reusable takeaway food containers usage: a case on campus in China,2023,4,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,0944-1344,30,17,50002-50012,"Li, Ruijuan and Zhou, Yuanchun and Su, Hongyan and Wang, Qi and Wang, Hua",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",,"",10.1007/s11356-023-25884-y,Reusable takeaway food container; Cost-benefit analysis; Net benefit; Stakeholder; Sensitivity an...,,,""
rayyan-401776568,Recent Advances in Natural Fibre-Based Materials for Food Packaging Applications,2023,3,,POLYMERS,,15,6,,"Pulikkalparambil, Harikrishnan and Varghese, Sandhya Alice and Chonhenchob, Vanee and Nampitch, Tarinee and Jarupan, Lerpong and Harnkarnsujarit, Nathdanai",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/polym15061393,natural fibres; food packaging; fibre modifications,,,""
rayyan-401776569,"Personal protective equipment (PPE) pollution associated with the COVID-19 pandemic on beaches in the eastern region of the Gulf of California, Mexico",2024,1,,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,906,,,"Ortega-Borchardt, Jose Angel and Barba-Acuna, Isai David and De-la-Torre, Gabriel E. and Ramirez-Alvarez, Nancy and Garcia-Hernandez, Jaqueline",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.scitotenv.2023.167539,Face masks; Gloves; Plastic pollution; Single -use plastics; Recreational beaches,,,""
rayyan-401776570,A Lifecycle Assessment of Meat Processing Products Made from Protein-Based Thermoplastics,2023,2,,SUSTAINABILITY,,15,4,,"Verbeek, Casparus J. R. and Van der Merwe, De Wet and Bier, James M.",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/su15043455,life cycle assessment; biopolymers; single use plastics; waste valorization; protein; meat proces...,,,""
rayyan-401776571,Property improvement of a thermoplastic starch/poly(butylene adipate-co-terephthalate) blown film by the addition of sodium nitrite,2023,7,,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,0141-8130,242,2,,"Tuntiworadet, Thanatcha and Yoksan, Rangrong",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.ijbiomac.2023.124991,Thermoplastic starch; Poly(butyleneadipate-co-terephthalate); Sodium nitrite; Biodegradable film,,,""
rayyan-401776572,In-Situ Product Removal for the Enzymatic Depolymerization of Poly(ethylene terephthalate) via a Membrane Reactor,2025,2,,CHEMSUSCHEM,1864-5631,18,3,,"Ayafor, Christian and Chang, Allen C. and Patel, Akanksha and Abid, Umer and Xie, Dongming and Sobkowicz, Margaret J. and Wong, Hsi-Wu",,English,WILEY-V C H VERLAG GMBH,"POSTFACH 101161, 69451 WEINHEIM, GERMANY",,"",10.1002/cssc.202400698,In-situ product; Membrane reactor; Enzymatic depolymerization; Poly(ethylene terephthalate); Recy...,,,""
rayyan-401776573,Policy scenario of plastic waste mitigation in Indonesia using system dynamics,2024,11,,WASTE MANAGEMENT \& RESEARCH,0734-242X,42,11,1008-1018,"Apriadi, Bagus Fadhilah and Setiawan, Rulli Pratiwi and Firmansyah, Irman",,English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",,"",10.1177/0734242X241231396,Mitigation; mixed policy; plastic waste; policy scenario; system dynamics,,,""
rayyan-401776574,Comparative toxicity of microplastics obtained from human consumer products on human cell-based models,2025,2,,FOOD AND CHEMICAL TOXICOLOGY,0278-6915,196,,,"Janiga-MacNelly, Alisha and Hoang, Tham C. and Lavado, Ramon",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"",10.1016/j.fct.2024.115194,Microplastic; In vitro; Consumer plastic; Cryo-milling,,,""
rayyan-401776575,Modified polysaccharides for food packaging applications: A review,2024,2,,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,0141-8130,258,1,,"Janik, Weronika and Jakubski, Lukasz and Kudla, Stanis law and Dudek, Gabriela",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.ijbiomac.2023.128916,Modified polysaccharides; Starch; Chitosan; Cellulose; Packaging biomaterials,,,""
rayyan-401776576,"Ecological ramifications of marine debris in mangrove ecosystems: Estimation of substrate coverage and physical effects of marine debris on mangrove ecosystem in Negombo Lagoon, Sri Lanka",2024,4,,MARINE POLLUTION BULLETIN,0025-326X,201,,,"Jayapalaa, H. P. S. and Jayasiria, H. B. and Ranatunga, R. R. M. K. and Perera, I. J. J. U. N. and Bellanthudawa, B. K. A.",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"",10.1016/j.marpolbul.2024.116184,Mangroves; Debris cover; Negombo Lagoon; Physical impacts; Seedling; Root damages,,,""
rayyan-401776577,"Eco-Innovative UHPC-Enhancing Sustainability, Workability, and Ductility with Recycled Glass Cullet Powder and Plastic Bottle Hybrid Fibers",2024,1,,MATERIALS,,17,2,,"Khan, Mohammad Iqbal and Fares, Galal and Abbas, Yassir M. and Alqahtani, Fahad K.",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/ma17020393,glass cullet; mechanical strength; plastic bottle fibers; slump-flow; recycling hazardous waste m...,,,""
rayyan-401776578,The collateral effects of COVID-19 on marine pollution,2024,8,,MARINE POLLUTION BULLETIN,0025-326X,205,,,"Nanayakkara, Chamila Jinendra and Senadheera, Venuri and Anuththara, Veenavee and Rathnaweera, Pinsara and Nishshanka, Primalsha and Piyatissa, Piyumi and Munasingha, Harshani and Dushyantha, Nimila and Kuruppu, Gayithri Niluka",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"",10.1016/j.marpolbul.2024.116595,COVID-19 impact; Personal protective equipment (PPE); Medical waste; Risk assessment; Monitoring ...,,,""
rayyan-401776579,Review on the effects and management of personal protective equipment waste on ocean resources,2024,1,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1735-1472,21,1,1037-1052,"Iddrisu, F. T. and Imoro, Z. A. and Abukari, H. and Imoro, A. Z. and Duwiejuah, A. B. and Alidu, S. M. and Amadu, Y. and Abukari, A. and Iddrisu, A. -m.",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"",10.1007/s13762-023-05093-3,Aquatic ecosystem; Biodiversity; Coronavirus; Fisheries; Sustainable development goals,,,""
rayyan-401776580,"Microplastics: Challenges, toxicity, spectroscopic and real-time detection methods",2024,10,,APPLIED SPECTROSCOPY REVIEWS,0570-4928,59,9,1183-1277,"Fakayode, Sayo O. and Mehari, Tsdale F. and Narcisse, Vivian E. Fernand and Grant, Cidya and Taylor, Megan E. and Baker, Gary A. and Siraj, Noureen and Bashiru, Mujeebat and Denmark, Iris and Oyebade, Adeniyi and Bwambok, David K. and Kuedukey, Charles and Alonge, Temitope and Anum, Davis",,English,TAYLOR \& FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA",,"",10.1080/05704928.2024.2311130,Microplastics detection; ecotoxicity;FTIR;Raman;fluorescence spectroscopy; satellite imagery;unmanned aerial vehicles; aquatic drone: review,,,""
rayyan-401776581,The role of natural hybrid nanobentonite/nanocellulose in enhancing the water resistance properties of the biodegradable thermoplastic starch,2023,6,,E-POLYMERS,2197-4586,23,1,,"Lai, Di Sheng and Osman, Azlin Fazlina and Adnan, Sinar Arzuria and Ibrahim, Ismail and Sandu, Andrei Victor and Abd Rahim, Shayfull Zamree and Vizureanu, Petrica",,English,DE GRUYTER POLAND SP Z O O,"BOGUMILA ZUGA 32A STR, 01-811 WARSAW, MAZOVIA, POLAND",,"",10.1515/epoly-2023-0014,thermoplastic starch; nanocellulose; bentonite; bioplastic; environmentally friendly,,,""
rayyan-401776582,Unmasking Malaysian preferences for effective plastic waste management: a choice experiment approach,2024,1,,JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT,1438-4957,26,1,512-528,"Chook, Jia Wei and Ferdin, Arockia E. J. and Lee, Chun-Hung",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"",10.1007/s10163-023-01850-1,Choice experiment; Community engagement; Community resilience; Malaysia; Plastic waste management,,,""
rayyan-401776583,Flexible and green multilayer paper coating for barrier enhancement of paper packaging,2023,9,,SUSTAINABLE MATERIALS AND TECHNOLOGIES,2214-9937,37,,,"Eslami, Hormoz and Mekonnen, Tizazu H.",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.susmat.2023.e00694,Paper coating; Multilayer flexible packaging; Starch coating; Permeability; Barrier,,,""
rayyan-401776584,The Comparative Effectiveness of Interventions Aimed at Making Tourists Behave in More Environmentally Sustainable Ways: A Meta-Analysis,2024,5,,JOURNAL OF TRAVEL RESEARCH,0047-2875,63,5,1239-1255,"Greene, Danyelle and Demeter, Csilla and Dolnicar, Sara",,English,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",,"",10.1177/00472875231183701,meta-analysis; pro-environmental; nudging; pleasure; penalties; beliefs,,,""
rayyan-401776585,IoT-based Water Surface Cleaning Robot with Live Streaming,2024,,,PRZEGLAD ELEKTROTECHNICZNY,0033-2097,100,2,172-176,"Khairudin, Hafizudin Fikri and Ahmad, Suziana and Tumari, Mohd Zaidi Mohd and Sadun, Amirul Syafiq and Mustaffa, Izadora",,English,WYDAWNICTWO SIGMA-NOT SP ZOO,"UL RATUSZOWA 11, PO BOX 1004, 00-950 WARSAW, POLAND",,"",10.15199/48.2024.02.35,Water Surface Cleaning Robot; IoT; Live Streaming; Monitoring System,,,""
rayyan-401776586,"Comparative microplastic load in two decapod crustaceans Palinurus elephas (Fabricius, 1787) and Nephrops norvegicus (Linnaeus, 1758)",2023,6,,MARINE POLLUTION BULLETIN,0025-326X,191,,,"Cau, Alessandro and Gorule, Pankaj A. and Bellodi, Andrea and Carreras-Colom, Ester and Moccia, Davide and Pittura, Lucia and Regoli, Francesco and Follesa, Maria Cristina",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"",10.1016/j.marpolbul.2023.114912,Microplastic; Lobster; Ingestion; Bioindicators; Fragmentation,,,""
rayyan-401776587,"A Perspective on Plastics and Microplastics Contamination in Garden Soil in British Columbia, Canada",2024,3,,POLLUTANTS,,4,1,153-173,"Falconi, Isabela Brandolis Alves and Mackay, Melanie and Zafar, Geety and Holuszko, Maria E.",,English,MDPI,"MDPI AG, Grosspeteranlage 5, CH-4052 BASEL, SWITZERLAND",,"",10.3390/pollutants4010010,plastic contamination; microplastic; garden soil; Canada legislation,,,""
rayyan-401776588,Plastic packaging: Are German retailers on the way towards a circular economy? Companies' strategies and perspectives on consumers,2023,,,GAIA-ECOLOGICAL PERSPECTIVES FOR SCIENCE AND SOCIETY,0940-5550,32,2,241-248,"Straeter, Katharina Friederike and Rhein, Sebastian",,English,OEKOM VERLAG GMBH,"GOETHESTRASSE 28, MUNICH, 80336, GERMANY",,"",10.14512/gaia.32.2.7,circular economy; GABEK \& REG;; plastic packaging; qualitative analysis; recycling; retailer; se...,,,""
rayyan-401776589,"Sipping tea, plastics performing: representational and materialist politics of boba tea consumption in contemporary China",2023,7,,INTERNATIONAL JOURNAL OF ASIAN STUDIES,1479-5914,20,2,353-365,"Wu, Ka-ming",,English,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CB2 8RU CAMBRIDGE, ENGLAND",,"",10.1017/S1479591422000328,Boba tea consumption; contemporary China; new materialism; performance capacity of plastic; singl...,,,""
rayyan-401776590,"A circular economy for reusable plastic packaging: digital assessment for cleaning assurance - 31ST CIRP CONFERENCE ON LIFE CYCLE ENGINEERING, LCE 2024",2024,,,,2212-8271,122,,348-353,"Woolley, Elliot and Nahar, Samsun and Simeone, Alessandro and Lee, Kye and Wilson, Garrath T.",,English,ELSEVIER SCIENCE BV,"SARA BURGERHARTSTRAAT 25, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,"31st Conference on Life Cycle Engineering-LCE, Turin, ITALY, JUN 19-21, 2024",10.1016/j.procir.2024.01.051,food packaging; surface assessment; image processing; sustainability,,,""
rayyan-401776591,An Eco-Friendly Alternative to Plastic Cutlery and Food Packaging: A Case of Ecoware in India,2025,3,,ASIAN JOURNAL OF MANAGEMENT CASES,0972-8201,22,1,64-79,"Tudu, Preshita Neha and Mishra, Vaibhav",,English,SAGE PUBLICATIONS INDIA  PVT LTD,"B-1-I-1 MOHAN CO-OPERATIVE INDUSTRIAL AREA, MATHURA RD, POST BAG NO 7, NEW DELHI 110 044, INDIA",,"",10.1177/09728201231190189,Marketing; sustainable development; sustainable marketing; biodegradable cutlery; eco-friendly,,,""
rayyan-401776592,"Abundance, characteristics, and potential ecological risks of microplastics in some commercial fish in •Izmir Bay (Aegean Sea, Türkiye)",2024,7,,REGIONAL STUDIES IN MARINE SCIENCE,2352-4855,73,,,"Bayhan, Bahar and Uncumusaoglu, Arzu Aydin",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.rsma.2024.103488,Microplastics; Pelagic fish; Demersal fish; Commercial fish; Digestive tract,,,""
rayyan-401776593,"Thermal, structural, and morphological examination of mercerized coir fiber-reinforced composites",2023,6,,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING,0954-4089,237,3,982-988,"Dugvekar, Mitali and Dixit, Savita",,English,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",,"",10.1177/09544089221150677,Wettability; interfacial adhesion; reinforcement; mercerization; waste management; stability,,,""
rayyan-401776594,Utilization of Plastic Waste for Developing Composite Bricks and Enhancing Mechanical Properties: A Review on Challenges and Opportunities,2023,5,,ADVANCES IN POLYMER TECHNOLOGY,0730-6679,2023,,,"Singh, Aditya and Srivastava, Ashish Kumar and Singh, Gyanendra and Singh, Akash Deep and Singh, Hritik Kumar and Kumar, Ajay and Singh, Gyanendra Kumar",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1155/2023/6867755,"",,,""
rayyan-401776595,Linking methodologies to assess climate impacts and circular economy strategies along supply chains,2024,6,,SUSTAINABLE PRODUCTION AND CONSUMPTION,2352-5509,47,,544-556,"Lahcen, Bart and Eyckmans, Johan and Brusselaers, Jan",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.spc.2024.04.019,Climate externalities; Circular value chain; Economic equilibrium modelling; Policy analysis; Sin...,,,""
rayyan-401776596,Biopolymers as green-based food packaging materials: A focus on modified and unmodified starch-based films,2023,3,,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,1541-4337,22,2,1148-1183,"Matheus, Julia Rabelo Vaz and Dalsasso, Raul Remor and Rebelatto, Evertan Antonio and Andrade, Katia Suzana and de Andrade, Lidiane Maria and de Andrade, Cristiano Jose and Monteiro, Alcilene Rodrigues and Fai, Ana Elizabeth Cavalcante",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1111/1541-4337.13107,agro-industrial waste; biodegradable films; long-term impacts; SARS-Cov2 pandemic; starch-based f...,,,""
rayyan-401776597,Recycling of Plastic Polymer: Reinforcement of Building Material Using Polymer Plastics of Used COVID-19 Syringes,2023,4,,BUILDINGS,,13,4,,"Fahim, Golam and Hossain, Md. Tofazzal and Penheiro, Stapheny and Zakir, Md. Iffat Bin and Shamsuzzaman, Md. and Morshed, Mohammad Sarwar and Khan, Sakib Hossain and Hamja, Abu",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/buildings13040919,COVID-19 plastics; polymer composite; building materials; reinforcement of concrete; recycling of...,,,""
rayyan-401776598,Transformation of water hyacinth into biodegradable film added with carboxymethyl cellulose and chitosan and its characterization,2024,12,,MATERIALS TODAY COMMUNICATIONS,,41,,,"Kusuma, Heri Septya and Jaya, Debora Engelien Christa and Nasution, Safinah Annajah and Mongilong, Ratu Kalya and Fachri, Deva Meida and Afifah, Dwi Kurnia",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.mtcomm.2024.111028,Biodegradable Film; Carboxymethyl Cellulose; Chitosan; Environmentally; Water Hyacinth,,,""
rayyan-401776599,Recovering Low-Density Polyethylene Waste for Gypsum Board Production: A Mechanical and Hygrothermal Study,2024,8,,MATERIALS,,17,16,,"Zaragoza-Benzal, Alicia and Ferrandez, Daniel and Santos, Paulo and Cunha, Andre and Duraes, Luisa",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"",10.3390/ma17163898,gypsum; low-density polyethylene (LDPE); hygrothermal performance; circular economy; sustainable ...,,,""
rayyan-401776600,Study on the effect of different contact times on the migration of heavy metals into different foodstuffs served in plastic cups,2024,6,,HELIYON,,10,11,,"Khaled, B. M. and Sina, Adda Ann and Rana, Md. Suman and Alam, S. M. Shamiul and Al Numan, Abdullah and Shammi, Maria Tabassum and Parvin, Fatima and Naznin, Tamanna and Hossain, Md. Mozaffor and Annana, Refat Pervin",,English,CELL PRESS,"50 HAMPSHIRE ST, FLOOR 5, CAMBRIDGE, MA 02139 USA",,"",10.1016/j.heliyon.2024.e31627,Heavy metals; Plastic cups; Migration; Food safety; Health risk; Risk assessment,,,""
rayyan-401776601,A recycling quality improvement project to engage the multidisciplinary team with sustainability efforts,2025,1,,NURSING IN CRITICAL CARE,1362-1017,30,1,61-67,"Gray, Phoebe and Gubb, Samuel and Butler, Jessica and Walton, Benjamin",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"",10.1111/nicc.13054,environmental sustainability; intensive care; quality improvement; recycling; waste,,,""
rayyan-401776602,Development of STEAM activity ``Eco-Friendly Straw{''} based science learning kit to examine students' basic science process skills,2024,9,,THINKING SKILLS AND CREATIVITY,1871-1871,53,,,"Khamhaengpol, Arunrat and Nokaew, Thatdao and Chuamchaitrakool, Porntip",,English,ELSEVIER SCI LTD,"125 London Wall, London, ENGLAND",,"",10.1016/j.tsc.2024.101618,STEAM activity; Science process skills; Eco-Friendly Straw; Science learning kit; Polymer,,,""
rayyan-401776603,Sustainability between trees,2023,9,,DESALINATION AND WATER TREATMENT,1944-3994,305,,192-200,"Pruss, Agata Magdalena and Karolczak, Jacek and Pruss, Pawel and Madrecka-Witkowska, Beata and Komorowska-Kaufman, Malgorzata and Pruss, Alina",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",,"3rd International Conference on Strategies toward Green Deal Implementation -Water, Raw Materials and Energy (ICGreenDeal), ELECTR NETWORK, DEC 05-07, 2022",10.5004/dwt.2023.29832,Drinking water; Sustainability; Scout camp; Sanitation systems; Sustainable development goals,,,""
rayyan-401776604,Deterioration of single-use biodegradable plastics in high-humidity air and freshwaters over one year: Significant disparities in surface physicochemical characteristics and degradation rates,2024,3,,JOURNAL OF HAZARDOUS MATERIALS,0304-3894,465,,,"Hu, Lingling and He, Linlin and Cai, Li and Wang, Yumeng and Wu, Gang and Zhang, Daoyong and Pan, Xiangliang and Wang, Yu-Zhong",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.jhazmat.2023.133170,Biodegradable plastics; Degradation; Freshwater; Microplastic; Dissolved organic carbon,,,""
rayyan-401776605,Disposable e-cigarettes and cigarette butts alter the physiology of an aquatic plant Lemna minor (Lemnaceae),2023,9,,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,892,,,"Green, Dannielle Senga and Boots, Bas and Olah-Kovacs, Brigitta and Palma-Diogo, Daniela",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.scitotenv.2023.164457,Duckweed; Smoking related litter; Vapes; Electronic cigarettes; Emerging pollutants,,,""
rayyan-401776606,Utilizing a CHP Power Plant?s Energy and CO2 Emissions for the Manufacture of Affordable and Carbon Neutral Algae Bioplastic for Re-Useable Packaging,2023,5,,INDUSTRIAL \& ENGINEERING CHEMISTRY RESEARCH,0888-5885,62,18,7275-7296,"Berger, Nathaniel J. and Masri, Mahmoud A. and Brueck, Thomas and Garbe, Daniel and Pfeifer, Christoph and Lindorfer, Johannes",,English,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, DC 20036 USA",,"",10.1021/acs.iecr.3c00590,"",,,""
rayyan-401776607,Environmental footprints of disposable and reusable personal protective equipment-a product life cycle approach for body coveralls,2023,3,,JOURNAL OF CLEANER PRODUCTION,0959-6526,394,,,"Snigdha and Hiloidhari, Moonmoon and Bandyopadhyay, Somnath",,English,ELSEVIER SCI LTD,"125 London Wall, London, ENGLAND",,"",10.1016/j.jclepro.2023.136166,Life Cycle Assessment; Personal Protective Equipment; Body coveralls; Waste management; COVID-19,,,""
rayyan-401776608,A review on co-pyrolysis of agriculture biomass and disposable medical face mask waste for green fuel production: recent advances and thermo-kinetic models,2023,9,,FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING,2095-0179,17,9,1141-1161,"Wee, Melvin X. J. and Chin, Bridgid L. F. and Saptoro, Agus and Yiin, Chung L. and Chew, Jiuan J. and Sunarso, Jaka and Yusup, Suzana and Sharma, Abhishek",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"",10.1007/s11705-022-2230-7,biomass; COVID-19 waste; catalyst; pyrolysis; kinetics,,,""
rayyan-401776609,Assessing the viability of 3D-printed poly(lactic acid) petri dishes: A sustainable alternative for laboratory use,2024,7,,SUSTAINABLE MATERIALS AND TECHNOLOGIES,2214-9937,40,,,"Doherty, Dylan and Rochfort, Keith D. and Conaghan, Mark and O'Loughlin, Jennie and Freeland, Brian and Cooling, Ciaran and Solola, David and Brych, Yevhen and Kelleher, Susan M. and Fahy, Samantha and Gaughran, Jennifer",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.susmat.2024.e00899,Polylactic acid; Bioplastics; Polystyrene; Labware; Single-use; Petri dish; Sustainability; 3D-pr...,,,""
rayyan-401776610,Experimental investigations on the mechanical properties and thermal analysis of coir-paper hybrid composite carry bag material,2023,12,,MATERIALS LETTERS,0167-577X,353,,,"Nandan, H. Vishnu and Anish, R. and Jayaprasad, G. and Sunny, Subin and Jomon, Jackson Scaria and Shibin, R. and Sajin, J. B.",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"",10.1016/j.matlet.2023.135252,Composite materials; Thermal properties; Coconut coir; Natural fiber; Mechanical properties; Pape...,,,""
rayyan-401776611,Students' perception of the green school program: an evaluation for improving environmental management in schools - INTERNATIONAL CONFERENCE ON ENVIRONMENTAL MANAGEMENT 2022,2023,,,,1755-1307,1180,,,"Hidayat, A. and Utomowati, R. and Nugraha, S. and Amanto, B. S. and Adiastuti, A. and Astirin, O. P.",,English,IOP PUBLISHING LTD,"DIRAC HOUSE, TEMPLE BACK, BRISTOL BS1 6BE, ENGLAND",,"International Conference on Environmental Management (ICEM), ICEM Comm, ELECTR NETWORK, SEP 23-24, 2022",10.1088/1755-1315/1180/1/012029,"",,,""
